NAME                                   MIN AVAILABLE   MAX UNAVAILABLE   ALLOWED DISRUPTIONS   AGE
eurotransit-catalog                    1               N/A               1                     2d2h
eurotransit-frontend                   1               N/A               1                     22h
eurotransit-inventory                  1               N/A               1                     5d7h
eurotransit-inventory-db-primary       1               N/A               0                     2d4h
eurotransit-kafka-entity-operator      0               N/A               1                     2d7h
eurotransit-kafka-kafka                2               N/A               1                     2d7h
eurotransit-notifications              N/A             1                 1                     2d2h
eurotransit-notifications-db-primary   1               N/A               0                     2d3h
eurotransit-orders                     1               N/A               1                     5d7h
eurotransit-orders-db-primary          1               N/A               0                     5d6h
eurotransit-payments                   1               N/A               1                     5d7h
eurotransit-payments-db-primary        1               N/A               0                     2d4h
